material_id,y_true,y_pred,abs_error,chemistry_family,spacegroup_number,nsites,tier
mp-1395639,5.254136927474001,-0.6915025945727133,5.945639522046714,oxide,2,42,tier2
mp-1387639,4.240466931111111,-0.19313056244534849,4.4335974935564595,oxide,1,9,tier2
mp-1404938,2.733328715,-1.6398582392184582,4.373186954218458,oxide,2,10,tier2
mp-1412630,5.822058452692308,1.6552906494946364,4.166767803197671,nitride,2,26,tier2
mp-730638,0.5236626939901471,-2.4204025664049476,2.9440652603950945,oxide,1,76,tier2
mp-1427168,2.553510613749999,-0.12731784794333698,2.680828461693336,halide,2,12,tier2
mp-819330,0.76544571958128,-1.8808841998036838,2.646329919384964,oxide,2,14,tier2
mp-886845,1.709613018622449,-0.8926886855731989,2.6023017041956478,oxide,2,28,tier2
mp-558552,-0.327749161642858,1.92308736243664,2.250836524079498,sulfide,2,14,tier2
mp-975644,-1.032930025,-3.147497610081893,2.1145675850818932,halide,191,3,tier2
mp-1064161,2.6836172009375,0.5704766809417023,2.1131405199957976,nitride,221,4,tier2
mp-673800,0.189381763776883,-1.6921046224255363,1.8814863862024194,sulfide,104,62,tier2
mp-1014296,0.31068654312499905,2.1113613468410843,1.8006748037160853,nitride,63,8,tier2
mp-739212,1.042582772333333,-0.6148648785375537,1.6574476508708866,halide,2,15,tier2
mp-1391065,-0.47625481979166606,-2.008006214131912,1.531751394340246,halide,1,16,tier2
mp-998361,-0.568850240499999,-2.0801328498296354,1.5112826093296365,sulfide,65,5,tier2
mp-1182562,2.285065560624998,0.7744632221956856,1.5106023384293121,sulfide,12,7,tier2
mp-2619703,-3.176136886249999,-1.7813698431448988,1.3947670431051,halide,12,8,tier2
mp-2225927,0.753554955,-0.6327606551860872,1.3863156101860872,sulfide,187,7,tier2
mp-1182484,0.5848164510714281,1.9506018100930402,1.3657853590216122,nitride,176,14,tier2
mp-804103,0.274752371666666,-0.9428377892604514,1.2175901609271174,oxide,2,40,tier2
mp-1371307,-2.04868344821501,-0.8839920102226636,1.1646914379923463,halide,1,17,tier2
mp-1208565,-0.030147534791666004,-1.134629386184644,1.104481851392978,oxide,227,32,tier2
mp-631423,1.162116339222223,0.11711943612123187,1.0449969031009911,halide,216,3,tier2
mp-849060,-1.167219273333332,-0.16147579239955898,1.005743480933773,sulfide,2,3,tier2
mp-634867,-2.402767662083334,-3.4059061434770914,1.0031384813937576,halide,12,4,tier2
mp-1023900,-0.47550657265625,0.5229910766882623,0.9984976493445124,sulfide,53,8,tier2
mp-1180037,-0.561093183863637,0.4363410290051125,0.9974342128687496,oxide,1,11,tier2
mp-1209884,0.818479903035714,-0.15462859238269838,0.9731084954184124,nitride,125,40,tier2
mp-736257,1.541566599515149,0.5925489832259508,0.9490176162891982,halide,14,110,tier2
mp-1179106,-1.050588458260869,-1.968891482026636,0.918303023765767,oxide,12,23,tier2
mp-691076,-1.887409925896226,-0.9862805733741603,0.9011293525220657,oxide,1,53,tier2
mp-690667,0.457978192708334,-0.442346885831315,0.900325078539649,oxide,225,16,tier2
mp-1045281,-2.5920701,-1.6984933100438158,0.8935767899561842,oxide,146,20,tier2
mp-1207041,0.155900499208354,-0.6964758541718112,0.8523763533801653,sulfide,123,5,tier2
mp-1187787,0.599620701874997,-0.23775527066136332,0.8373759725363603,halide,139,4,tier2
mp-726151,0.360840780499999,1.1967543966002852,0.8359136161002861,nitride,4,20,tier2
mp-1179405,-1.3791756,-0.5540515580448515,0.8251240419551484,oxide,9,22,tier2
mp-690817,-2.144298290625,-1.322621093161706,0.8216771974632942,oxide,1,8,tier2
mp-753292,-1.580106595964913,-0.7600166303232918,0.8200899656416212,oxide,1,19,tier2
mp-19390,-2.183169171249999,-1.3714258417660155,0.8117433294839835,oxide,221,4,tier2
mp-28836,-0.7570802055208321,-1.5677199761737084,0.8106397706528763,halide,4,32,tier2
mp-1178763,-1.181916868333332,-0.37580410440696255,0.8061127639263695,sulfide,12,6,tier2
mp-1445851,-1.442038974333333,-2.228602913382345,0.7865639390490118,halide,2,15,tier2
mp-1071980,1.427497977499999,0.6425437670211874,0.7849542104788115,nitride,141,6,tier2
mp-1094038,-0.339302469958332,-1.1191454568314112,0.7798429868730792,sulfide,41,8,tier2
mp-1045681,-1.633593150716145,-0.8661396029468619,0.7674535477692831,oxide,88,96,tier2
mp-1207296,0.659434113666669,-0.10732752121579102,0.7667616348824601,sulfide,65,10,tier2
mp-1214811,-0.7518716410227271,0.012228713587274186,0.7641003546100013,nitride,15,44,tier2
mp-1210575,-1.585853740333333,-2.3459422235905953,0.7600884832572623,halide,221,5,tier2
