feature,mean_abs_shap,tier,family
MagpieData mode Electronegativity,0.3266628407519931,tier2,sulfide
MagpieData avg_dev Electronegativity,0.19187900362075666,tier2,sulfide
MagpieData minimum MendeleevNumber,0.06878405980352359,tier2,sulfide
MagpieData avg_dev MendeleevNumber,0.06554470721271238,tier2,sulfide
MagpieData mean NdValence,0.05922195859385299,tier2,sulfide
std_dev CN_VoronoiNN,0.05436771433491103,tier2,sulfide
MagpieData mean SpaceGroupNumber,0.051370941464449635,tier2,sulfide
MagpieData avg_dev NdValence,0.041411399148504426,tier2,sulfide
MagpieData avg_dev NUnfilled,0.03927380175217244,tier2,sulfide
MagpieData maximum Electronegativity,0.037717375715161844,tier2,sulfide
MagpieData avg_dev Column,0.036786452192682936,tier2,sulfide
MagpieData avg_dev CovalentRadius,0.03601177611851151,tier2,sulfide
MagpieData avg_dev NpValence,0.03590715987977565,tier2,sulfide
MagpieData maximum CovalentRadius,0.031377816984731174,tier2,sulfide
MagpieData range Electronegativity,0.031120995976416054,tier2,sulfide
n_symmetry_ops,0.02856080557441014,tier2,sulfide
vpa,0.02537053625489274,tier2,sulfide
MagpieData mean GSbandgap,0.023422058814591827,tier2,sulfide
density,0.022893217841372628,tier2,sulfide
MagpieData minimum Electronegativity,0.0218894376447232,tier2,sulfide
MagpieData mean NsValence,0.016845653471244577,tier2,sulfide
MagpieData mode SpaceGroupNumber,0.01654518163790203,tier2,sulfide
MagpieData maximum NUnfilled,0.015317108260772608,tier2,sulfide
packing fraction,0.015215361031940228,tier2,sulfide
spacegroup_num,0.014954733234702517,tier2,sulfide
MagpieData range MeltingT,0.014390736363395414,tier2,sulfide
MagpieData mean NsUnfilled,0.014091896894073207,tier2,sulfide
mean CN_VoronoiNN,0.013952059531439413,tier2,sulfide
MagpieData maximum NdValence,0.012921973076506065,tier2,sulfide
MagpieData avg_dev GSvolume_pa,0.012661572505848784,tier2,sulfide
MagpieData avg_dev SpaceGroupNumber,0.011636266304226877,tier2,sulfide
MagpieData range CovalentRadius,0.011178432684468756,tier2,sulfide
MagpieData minimum GSvolume_pa,0.010798132528076052,tier2,sulfide
MagpieData mean GSvolume_pa,0.01079554671529203,tier2,sulfide
MagpieData mean MeltingT,0.010670384362516827,tier2,sulfide
MagpieData minimum NUnfilled,0.010591123253635875,tier2,sulfide
MagpieData mean NpValence,0.009881690832164091,tier2,sulfide
MagpieData avg_dev NdUnfilled,0.008810755584084541,tier2,sulfide
MagpieData range NUnfilled,0.008698936530312652,tier2,sulfide
MagpieData maximum NpUnfilled,0.00861170146042234,tier2,sulfide
MagpieData avg_dev MeltingT,0.00807633363077247,tier2,sulfide
MagpieData maximum MeltingT,0.008074060419866693,tier2,sulfide
MagpieData minimum Column,0.007897724445878863,tier2,sulfide
MagpieData range SpaceGroupNumber,0.007887706307293388,tier2,sulfide
MagpieData mean NUnfilled,0.007639293484265866,tier2,sulfide
is_centrosymmetric,0.007267101309461057,tier2,sulfide
MagpieData avg_dev NsValence,0.006735130320763124,tier2,sulfide
MagpieData maximum NdUnfilled,0.0063657434361394614,tier2,sulfide
MagpieData maximum NValence,0.0056941492234677815,tier2,sulfide
MagpieData mean GSmagmom,0.005349650057032825,tier2,sulfide
MagpieData range GSvolume_pa,0.005271466628894919,tier2,sulfide
MagpieData mean NpUnfilled,0.00511358630300331,tier2,sulfide
MagpieData mode GSvolume_pa,0.004923124353152647,tier2,sulfide
MagpieData mean Column,0.004715069584659114,tier2,sulfide
MagpieData minimum SpaceGroupNumber,0.004597862790271929,tier2,sulfide
MagpieData maximum Column,0.004526520395346467,tier2,sulfide
MagpieData mean Electronegativity,0.004508988586666844,tier2,sulfide
MagpieData avg_dev GSbandgap,0.004328832504172262,tier2,sulfide
MagpieData maximum Number,0.004265849715384603,tier2,sulfide
MagpieData avg_dev AtomicWeight,0.004046875634637367,tier2,sulfide
MagpieData mean MendeleevNumber,0.004043530339446636,tier2,sulfide
MagpieData mode MeltingT,0.003966145326853126,tier2,sulfide
MagpieData mean NfUnfilled,0.0038774541516281816,tier2,sulfide
MagpieData avg_dev NpUnfilled,0.0038041550676073703,tier2,sulfide
MagpieData maximum NfUnfilled,0.003796952973440965,tier2,sulfide
MagpieData maximum MendeleevNumber,0.003789667897657255,tier2,sulfide
MagpieData mean Row,0.0037133328379555294,tier2,sulfide
MagpieData minimum Number,0.003642760651629578,tier2,sulfide
MagpieData mean NdUnfilled,0.003565511726008142,tier2,sulfide
MagpieData minimum AtomicWeight,0.0032938084308784246,tier2,sulfide
crystal_system,0.003201127524370044,tier2,sulfide
MagpieData mean NfValence,0.0030649821855198134,tier2,sulfide
