tier,target,seed,ood_family,id_mae,ood_mae,mae_ratio,mae_delta,rmse_ratio,rmse_delta,r2_ratio,r2_delta
tier1,ef,42,sulfide,0.11809853752850565,0.2824101405361723,2.391309379830436,0.16431160300766667,1.149806282307994,0.050091898310780425,0.7668872054812411,-0.18514315357301125
tier1,ef,42,nitride,0.11809853752850565,0.5503301883294776,4.659923821636178,0.4322316508009719,2.1687762604793197,0.3908128596877955,-0.0680760711781627,-0.8482887971980626
tier1,ef,42,halide,0.11809853752850565,0.7814536493035817,6.616962967174432,0.6633551117750761,3.0061980674501054,0.6708281390988924,-0.05886639076978657,-0.840974272580371
tier1,ef,123,sulfide,0.1214880673160587,0.29065077353833585,2.3924223996599596,0.16916270622227714,1.1757818996150373,0.06007547926190088,0.7230883588526729,-0.2194201625657629
tier1,ef,123,nitride,0.1214880673160587,0.5954082009857747,4.900960350589688,0.473920133669716,2.2552598564355786,0.4289994455557772,-0.2406697674685828,-0.9830860159596845
tier1,ef,123,halide,0.1214880673160587,0.7972289070404154,6.56219927317121,0.6757408397243567,3.051043515910482,0.7009676336140572,-0.15946777299608084,-0.9187429108666737
tier1,ef,456,sulfide,0.12015053322735998,0.33707658773624066,2.805452282915741,0.2169260545088807,1.4470429378127534,0.14169475825108985,0.5438139258168924,-0.3721734504633145
tier1,ef,456,nitride,0.12015053322735998,0.5690087385078164,4.735798695383942,0.44885820528045645,2.3463401663187278,0.42673606549661924,-0.13305272517861416,-0.9243862672522623
tier1,ef,456,halide,0.12015053322735998,0.8027688332481175,6.681358889427847,0.6826183000207575,3.3186515905115,0.7349199568915755,-0.1792221747339702,-0.9620530096616584
tier1,bg,42,sulfide,0.5311101873149624,0.638036404649863,1.2013258639896707,0.1069262173349006,1.0334822246220638,0.026401698803816598,0.39329231566838224,-0.4538742595512546
tier1,bg,42,nitride,0.5311101873149624,0.7228257634199645,1.3609713778495265,0.19171557610500212,1.3267439881427867,0.2576470487931376,0.4857812207286183,-0.38468388272725484
tier1,bg,42,halide,0.5311101873149624,1.2911944483396685,2.43112348280745,0.760084261024706,2.1274410645395982,0.8890197632033575,0.33480454138322085,-0.49762860110986396
tier1,bg,123,sulfide,0.5345471248280851,0.6235984747444129,1.1665921408612336,0.0890513499163278,1.019803286573665,0.016057962601491726,0.3726919604509508,-0.4599782667824557
tier1,bg,123,nitride,0.5345471248280851,0.7223171776422324,1.351269409361309,0.18777005281414727,1.374218189404711,0.3034436565822364,0.3788331023115663,-0.4554752290226627
tier1,bg,123,halide,0.5345471248280851,1.3344680458877671,2.496446026750108,0.799920921059682,2.168128242096452,0.9472043721407225,0.2410835545472526,-0.55648110530036
tier1,bg,456,sulfide,0.5403140997363902,0.5962637764006944,1.1035502806452784,0.05594967666430417,1.0011961880083164,0.0009605967230295054,0.42359854332730895,-0.4259213264178435
tier1,bg,456,nitride,0.5403140997363902,0.7412620976088914,1.3719095947533855,0.20094799787250117,1.3043746705212524,0.24442755573799246,0.48966213360929217,-0.37710484326172045
tier1,bg,456,halide,0.5403140997363902,1.2913386753961702,2.389977748176832,0.75102457565978,2.099330488694419,0.8828154584599954,0.32887516741485145,-0.49591543459429044
tier2,ef,42,sulfide,0.11666582738936955,0.29827239683638657,2.5566389362748803,0.18160656944701703,2.0303364082285444,0.20313242232653425,0.6238660513058786,-0.34743035342892614
tier2,ef,42,nitride,0.11666582738936955,0.7058098182367478,6.0498419634150755,0.5891439908473782,4.3447072193547935,0.6594142204570921,-0.5094459454205003,-1.394256860142601
tier2,ef,42,halide,0.11666582738936955,0.5922262735011892,5.076261719077751,0.47556044611181963,3.6858432110080677,0.5295181584229984,0.49265724319467014,-0.4686263335666737
tier2,ef,123,sulfide,0.15034899586806083,0.32167241379125383,2.1395049028031976,0.171323417923193,0.9321503456942197,-0.029836758027485033,0.7688951351498392,-0.16700405107450322
tier2,ef,123,nitride,0.15034899586806083,0.7969726352599782,5.300817811642478,0.6466236393919174,2.142409037318822,0.502372228180829,-1.0780064755452303,-1.5016364964887612
tier2,ef,123,halide,0.15034899586806083,0.7018725942440875,4.668289204006508,0.5515235983760267,1.9145023855934664,0.4021507062002162,0.37160708155255046,-0.45409759381437353
tier2,ef,456,sulfide,0.1339321605556184,0.3172237600752545,2.368540601146504,0.18329159951963608,1.5964687421571848,0.16299818671233918,0.5740959952442178,-0.3684435764015038
tier2,ef,456,nitride,0.1339321605556184,0.7767065184691017,5.799253258119109,0.6427743579134833,3.4660878611274337,0.673912681800103,-0.9226603222824877,-1.6632664577860146
tier2,ef,456,halide,0.1339321605556184,0.7969360371716733,5.950296283324178,0.6630038766160549,3.395899909918762,0.6547322822795985,0.12861486469376476,-0.7538230495377348
tier2,bg,42,sulfide,0.5848865650376718,0.6254407430808738,1.0693368260913807,0.04055417804320205,0.9983848968664752,-0.0012718391801651574,0.4646869937425562,-0.39526546824945763
tier2,bg,42,nitride,0.5848865650376718,0.819449438050642,1.4010399401084932,0.23456287301297019,1.359771014855977,0.28330752574482554,0.45115231353313123,-0.40525923198777447
tier2,bg,42,halide,0.5848865650376718,1.2020608971885849,2.055203468575418,0.6171743321509131,1.9896350422273201,0.7793041785649014,0.4739464695483119,-0.38842843832990737
tier2,bg,123,sulfide,0.605951248059167,0.5885861026504928,0.9713423390672205,-0.017365145408674176,0.9087939990805903,-0.07586187318593729,0.5630848302835368,-0.3047555565528445
tier2,bg,123,nitride,0.605951248059167,0.8760079712634748,1.445674011018686,0.27005672320430785,1.3458506940732626,0.2876661758061003,0.38872095211680513,-0.42637724519299613
tier2,bg,123,halide,0.605951248059167,1.187120581981692,1.9591024620940753,0.5811693339225249,1.8572124085095485,0.7129984690944189,0.5277111076492622,-0.3294293130986523
tier2,bg,456,sulfide,0.6031032247516781,0.6328326825148234,1.0492941449208568,0.029729457763145284,0.9748544910282112,-0.021072746102315798,0.42328005575793665,-0.3960804295916742
tier2,bg,456,nitride,0.6031032247516781,0.76916055304259,1.2753381535296622,0.1660573282909119,1.2370729539377627,0.19867476819265562,0.5458525395226397,-0.31189994908229013
tier2,bg,456,halide,0.6031032247516781,1.1552211928746488,1.9154618073055403,0.5521179681229706,1.8033345422964349,0.6732202105761783,0.5754462646336591,-0.2915755343083306
