material_id,y_true,y_pred,abs_error,chemistry_family,spacegroup_number,nsites,tier
mp-831192,2.840347123053571,-2.592544530361575,5.432891653415146,oxide,1,40,tier1
mp-1444025,2.659218778703703,-2.4170896821141645,5.0763084608178675,oxide,1,9,tier1
mp-725054,2.214990465892857,-2.6721415057161413,4.887131971608998,oxide,2,36,tier1
mp-877684,3.049809992262821,-1.8237273188450673,4.873537311107889,oxide,1,39,tier1
mp-1352759,2.701970799959302,-1.9516595490294308,4.653630348988733,oxide,2,43,tier1
mp-1361141,2.102669745198979,-2.497292892642179,4.599962637841158,oxide,2,42,tier1
mp-934429,2.005359134474789,-2.550078034654835,4.555437169129624,oxide,2,34,tier1
mp-1405591,2.231429801413792,-2.319803846788915,4.551233648202707,oxide,2,10,tier1
mp-726324,2.655901933840125,-1.8259916967434071,4.4818936305835315,oxide,2,33,tier1
mp-883780,1.793795866527093,-2.496962671060864,4.290758537587957,oxide,1,39,tier1
mp-1412630,5.822058452692308,1.5583403587334506,4.2637180939588575,nitride,2,26,tier1
mp-1385211,0.9079231171954021,-3.3031626260311095,4.211085743226512,oxide,2,30,tier1
mp-682364,1.654328723772894,-2.555460279969124,4.209789003742018,oxide,2,26,tier1
mp-1391871,1.481587215714284,-2.560755725696692,4.0423429414109755,oxide,2,14,tier1
mp-1192792,1.9696615155000001,-2.010340232614583,3.9800017481145833,oxide,62,20,tier1
mp-1361722,2.703761413030302,-1.215290086637389,3.919051499667691,oxide,2,33,tier1
mp-1344789,1.3826574535897431,-2.494279182191566,3.876936635781309,oxide,2,26,tier1
mp-1228941,-2.950511368205127,0.9128816109951111,3.863392979200238,oxide,2,26,tier1
mp-1343930,7.520195506487179,3.7284642572376177,3.791731249249561,oxide,1,26,tier1
mp-1003545,1.9401112617904501,-1.8171739923754406,3.7572852541658905,oxide,2,13,tier1
mp-1340427,0.758957235909091,-2.968154778120489,3.72711201402958,oxide,2,22,tier1
mp-803453,1.112144160054945,-2.531880242323202,3.644024402378147,oxide,2,52,tier1
mp-1323652,1.087259672689824,-2.5418926474178085,3.6291523201076323,oxide,2,29,tier1
mp-1100959,0.472635297058823,-3.10364121604669,3.5762765131055128,oxide,139,17,tier1
mp-890597,0.8963589294447861,-2.5491327625186986,3.445491691963485,oxide,1,32,tier1
mp-1382294,1.521698325,-1.9084748933914668,3.4301732183914666,oxide,2,26,tier1
mp-1363241,1.259586545733318,-2.0204554087868978,3.2800419545202155,oxide,2,55,tier1
mp-1331651,0.8838927647454841,-2.2352901646900825,3.1191829294355666,oxide,1,28,tier1
mp-1207372,0.09504380725,-2.98401506648406,3.07905887373406,oxide,65,10,tier1
mp-1419122,1.188733502916662,-1.8603665380633618,3.049100040980024,halide,2,12,tier1
mp-1341074,0.6370117931318681,-2.3484849579757507,2.9854967511076187,oxide,2,26,tier1
mp-742054,0.57076553181096,-2.387818407832171,2.958583939643131,oxide,1,80,tier1
mp-1375312,0.8337879842857141,-2.080625967484441,2.914413951770155,oxide,2,26,tier1
mp-672441,0.9641143369780221,-1.908468011487607,2.872582348465629,oxide,2,26,tier1
mp-1372858,0.6195240585164831,-2.2476751614695827,2.8671992199860656,oxide,2,26,tier1
mp-1023371,0.785643095994319,-2.0628907108990386,2.8485338068933577,halide,1,11,tier1
mp-818178,0.715892282752976,-2.126286562168733,2.8421788449217087,oxide,2,16,tier1
mp-1378312,0.40340119749999903,-2.3217692921479363,2.7251704896479354,oxide,1,28,tier1
mp-1372548,1.4505064852499991,-1.2594922627057374,2.7099987479557366,oxide,1,20,tier1
mp-1404407,0.778818596757703,-1.9214430917586025,2.7002616885163055,oxide,1,17,tier1
mp-795772,1.820438246136363,-0.8045048859026113,2.6249431320389744,oxide,2,22,tier1
mp-1207296,0.659434113666669,-1.930262921796199,2.5896970354628683,sulfide,65,10,tier1
mp-1218123,-3.336769284380953,-0.7994545714707386,2.5373147129102143,oxide,1,42,tier1
mp-1209668,-1.58279968923611,0.9451886934778707,2.5279883827139806,oxide,2,36,tier1
mp-1353130,-0.019871438791208,-2.531880242323202,2.512008803531994,oxide,2,52,tier1
mp-28458,-1.969166459114586,0.5120925243547518,2.481258983469338,halide,59,6,tier1
mp-1420266,1.325455985416666,-1.1541236626949822,2.479579648111648,halide,2,12,tier1
mp-24816,-1.691923409973684,0.7768364448919238,2.468759854865608,oxide,2,19,tier1
mp-1101100,0.847747754285715,-1.575814858314043,2.423562612599758,sulfide,156,7,tier1
mp-673602,0.454993848214285,-1.9379577607061451,2.39295160892043,oxide,1,56,tier1
