feature,mean_abs_shap,tier
MagpieData mode Electronegativity,0.27264751092723255,tier1
MagpieData avg_dev Electronegativity,0.18497099669913772,tier1
MagpieData avg_dev NdValence,0.13413182506216645,tier1
MagpieData mean NdValence,0.062388603935356945,tier1
MagpieData avg_dev NUnfilled,0.06151903134660117,tier1
MagpieData mean SpaceGroupNumber,0.049792119809591626,tier1
MagpieData mean GSbandgap,0.03179633328603972,tier1
MagpieData maximum NUnfilled,0.03127866304391115,tier1
MagpieData mean MeltingT,0.029474155577342787,tier1
MagpieData maximum Electronegativity,0.028857627351250893,tier1
MagpieData maximum NpUnfilled,0.026704332024829223,tier1
MagpieData minimum MendeleevNumber,0.026072326031118313,tier1
MagpieData avg_dev Column,0.026020839586484237,tier1
MagpieData maximum GSbandgap,0.022394447819070063,tier1
MagpieData avg_dev CovalentRadius,0.020388671017535293,tier1
MagpieData mean NsValence,0.020365746193430064,tier1
MagpieData minimum Column,0.02021685820499568,tier1
MagpieData mean NpValence,0.01828381822196342,tier1
MagpieData avg_dev GSbandgap,0.018162630958803605,tier1
MagpieData maximum NdValence,0.01791007772570825,tier1
MagpieData range Electronegativity,0.017742091933182432,tier1
MagpieData mode SpaceGroupNumber,0.017263051616266976,tier1
MagpieData minimum SpaceGroupNumber,0.01716827442392742,tier1
MagpieData mean Electronegativity,0.01681392760981559,tier1
MagpieData mean NpUnfilled,0.014979590196891863,tier1
MagpieData mean NsUnfilled,0.014367068084940522,tier1
MagpieData mean NUnfilled,0.014309757546559908,tier1
MagpieData maximum CovalentRadius,0.014289493804247854,tier1
MagpieData range CovalentRadius,0.013898121567817511,tier1
MagpieData avg_dev NsValence,0.013765204330028641,tier1
MagpieData mean GSvolume_pa,0.013764118697770538,tier1
MagpieData avg_dev NpValence,0.013214635920477698,tier1
MagpieData minimum Electronegativity,0.01314217237160791,tier1
MagpieData range SpaceGroupNumber,0.012853275490955001,tier1
MagpieData maximum NValence,0.012616666740877658,tier1
MagpieData maximum NdUnfilled,0.012419006103141476,tier1
MagpieData avg_dev SpaceGroupNumber,0.011087852955057556,tier1
MagpieData avg_dev GSvolume_pa,0.010664752095390384,tier1
MagpieData avg_dev MendeleevNumber,0.01036350245617314,tier1
MagpieData range MeltingT,0.010347900551505168,tier1
MagpieData maximum MeltingT,0.010272316443212887,tier1
MagpieData mean Row,0.010142274140415653,tier1
MagpieData avg_dev MeltingT,0.010031835405805784,tier1
MagpieData mean Column,0.009894993041497532,tier1
MagpieData mean GSmagmom,0.009454987622663478,tier1
MagpieData minimum Number,0.00858012280986925,tier1
MagpieData range NpUnfilled,0.00846992763670803,tier1
MagpieData mean CovalentRadius,0.008439013451386753,tier1
MagpieData mode MeltingT,0.00823282322748888,tier1
MagpieData range NUnfilled,0.007386671445469301,tier1
MagpieData mean MendeleevNumber,0.007327583021162394,tier1
MagpieData avg_dev NpUnfilled,0.007308270528151589,tier1
MagpieData range GSbandgap,0.007096644028283592,tier1
MagpieData avg_dev NdUnfilled,0.007013638231455171,tier1
MagpieData minimum NUnfilled,0.006663923724639925,tier1
MagpieData avg_dev Row,0.00659057591690938,tier1
MagpieData range GSvolume_pa,0.006578718624307181,tier1
MagpieData avg_dev GSmagmom,0.006071213047581327,tier1
MagpieData avg_dev NValence,0.00603506224734692,tier1
MagpieData mean NValence,0.005857861092042224,tier1
MagpieData mean Number,0.005707327876925588,tier1
